Title,Address,"1st Description","1st Hours","2nd Description","2nd Hours","3rd Descript","3rd Hours",Lat,Long,"Twenty Four Hours",Notes,Checkins
,"2307 3rd St, Malin, OR 97632",,"Monday-Friday 9am-12pm & 1pm-4pm; Until 8pm on Election Day",,,,,42.0128818,-121.4111585,,,
,"300 E 1st St, Merrill, OR 97633",,"Monday-Friday 8am-4:30pm; Until 8pm on Election Day",,,,,42.0249381,-121.5977375,,,
,"898 Elk Drive, Brookings, OR 97415-9648","Drive-Up Ballot Drop Box","Until 8pm on Election Day",,,,,42.0549992,-124.2868284,1,,
,"222 Lister, Cave Junction, OR 97523","Ballot Drop Box just outside front entrance","Until 8pm on Election Day",,,,,42.167528,-123.6475527,1,,
,"513 Center Street, Rm. 6, Lakeview, OR 97630-1574",,"Monday-Friday 8:30am-5pm; Until 8pm on Election Day",,,,,42.1887721,-120.345792,,,
,"410 Siskiyou Blvd., Ashland, OR 97520-2136","Curbside Ballot Drop Box (alley off Gresham St. by book drop)","Opens Monday, Oct 25th; Until 8pm on Election Day",,,,,42.194035,-122.709775,,,
,"7390 S 6th St, Klamath Falls, OR 97603","Building 3","Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,42.194494,-121.698859,,,
,"2900 4th Ave, Bonanza, OR 97623",,"Tuesday & Thursday, 9am-12pm & 3pm - 6pm; Until 8pm on Election Day",,,,,42.1986808,-121.4053266,,,
,"2045 Arthur Street, Klamath Falls, OR 97603-4675","Parking lot in front of building","Until 8pm on Election Day",,,,,42.209425,-121.748322,1,,
,"305 Main Street, Klamath Falls, OR 97601","Ballot Drop Box - parking lot behind building","Until 8pm on Election Day","Ballot Drop Box by Clerk's Office in Government Center","Monday-Friday 8am-5pm; Until 8pm on Election Day",,,42.2230939,-121.7846026,1,,
,"3201 Campus Dr, Klamath Falls, OR 97601","College Union Information Desk, 1st Floor","7 days a week 8am-10pm; Until 8pm on Election Day",,,,,42.254236,-121.784992,,,
,"1101 W. Main St, Medford, OR 97501-2369","Ballot Drop Box on curbside of Main","Until 8pm on Election Day","Ballot Box Inside","Monday-Friday 8am-4pm; Until 8pm on Election Day",,,42.323349,-122.884326,1,,
,"7200 Williams Highway, Murphy, OR 97533","Ballot Drop Box in front of store","Until 8pm on Election Day",,,,,42.3381557,-123.3322663,1,,
